,name,ratings,displayNam,phone_numbers,nationalPhoneNumber,opening_hours_list,category,formattedAddress
141,عصيرات صح,"(5⭐) Very nice 😳 - 10 months ago | (5⭐) 🥤عصيرات صح
العثيم مول/ الربوة
من أفضل أركان العصيرات الطازجة بصناعة محترفين في هذا المجال.
أتردد عليهم شبه يوميا
تنوع جميل ،ولذة خيالية 🍊🍉
شكرخاص للمعلم أبو يوسف والشاب عبد الله والكاشيركيران
✍🏼ويستمر الإبداع من المعلم عبد الله بصناعة سلطة الفواكه والأفوكادو بالحليب
لك بالغ الثناء والتقدير🌺🌺 - 5 months ago | (5⭐) عصيرات صح الصح
وتعامل مميز وطعم ممتاز وشكراً من القلب - a month ago | (5⭐) من افضل مشروبات الي شربتها شكرا لهم انصكم تجربوه - a week ago | (5⭐) الخدمه جميله والعصيرات لذيذه واسعارهم ممتازه - 2 months ago",عصيرات صح,N/A,N/A,"Monday: 3:00 PM – 1:00 AM, Tuesday: 3:00 PM – 1:00 AM, Wednesday: 3:00 PM – 1:00 AM, Thursday: 3:00 PM – 1:00 AM, Friday: 3:00 PM – 1:00 AM, Saturday: 3:00 PM – 1:00 AM, Sunday: 3:00 PM – 1:00 AM",juice_shop,"Eastern Ring Rd, Ar Rabwah, Riyadh 13225, Saudi Arabia"
142,happy fitness,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
143,alhomaidhi watches,"(5⭐) Best quality watches of all brands coming from many different countries around the world! Just take the Granada Mall entrance near Dr Cafe and you can find this store on your left side! - 6 years ago | (5⭐) I have now bought three watches from this store. Always excellent quality and great value, I can highly recommend Mr. Abuelaah Musaid for always being fair, polite and friendly. - 6 years ago | (3⭐) Good offers and a good variety of jewellery - 9 months ago | (5⭐) Best place to buy watches, great service - 4 years ago | (4⭐) Here you can change watches battery. - 6 years ago",Alhomaidhi Watches,+966 59 421 5416,059 421 5416,"Monday: 3:30 – 11:00 PM, Tuesday: 3:30 – 11:00 PM, Wednesday: 3:30 – 11:00 PM, Thursday: 3:30 – 11:00 PM, Friday: 3:30 – 11:00 PM, Saturday: 3:30 – 11:00 PM, Sunday: 3:30 – 11:00 PM",store,"مول, الدور الارضي، Eastern Ring Rd, Ghirnatah, Riyadh 13241, Saudi Arabia"
144,R&B,"(1⭐) They are on sale! But the cashier is only one!!!!
Please add more employees. We waited long hours in the line. - 3 months ago | (4⭐) Ok - a month ago | (5⭐) If you’re looking for trendy, high-quality fashion at affordable prices the R&B Brand at Othaim Mall, Dammam is a must-visit. Conveniently located on the 2nd floor beside H&M, this store offers a wide variety of clothing, footwear, and accessories for men, women, and kids.

Whether you’re looking for stylish shorts, pants, shoes, bags, or accessories, R&B has something for every fashion enthusiast.

The brand perfectly blends style with budget-friendly pricing, making it an excellent choice for fashion-conscious shoppers.

The store layout is neat and easy to navigate, ensuring a pleasant shopping experience.

The materials used are comfortable and durable, making the products worth every riyal.

The staff is friendly, helpful, and always ready to assist with sizing or product recommendations.

R&B Brand is recommended with its impressive collection, quality products, and excellent service, it’s the perfect place to update your wardrobe for the Eid . - in the last week | (1⭐) اسوء فرع فجاءه بدون نداء على الزبائن ولا اي شي طفو النور وقفلو الكاشير تقول الموظفه ان قفلت الحساب ولا رضت تحاسبني - 6 months ago | (1⭐) المحل والبضاعة جميلة . لكن كان فيه توزيع شنط مع كل فاتورة ٢٠٠ ريال . اللي حصل السوبر فايزر الهندي مشى فاتورة سعودي بقيمة ٣٠٠ و ما اعرف كيف تلاعب في النظام واعطى الشنطة لعائلة مصرية فاتورتهم اقل من ٢٠٠ . كان مخليهم واقفين على جنب...اتمنى ادارة المحل ماتتساهل معه ابدا - 8 months ago",R&B,+966 16 558 0800,016 558 0800,"Monday: 10:00 AM – 11:00 PM, Tuesday: 10:00 AM – 11:00 PM, Wednesday: 10:00 AM – 11:00 PM, Thursday: 10:00 AM – 11:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 10:00 AM – 11:00 PM, Sunday: 10:00 AM – 11:00 PM",department_store,"OTHAIM MALL-RABWA MQPF+CPG Ar Rabwah, Riyadh, الربوة، Jeddah 00000, Saudi Arabia"
145,مذاق ورق عنب Mzaq Warg Enab,"(5⭐) Tasty food, the staff super nice and helpful, highly recommend - 3 years ago | (5⭐) Good - 8 months ago | (5⭐) Nice - a year ago | (5⭐) زرت مذاق ورق العنب جميل جدا فرع العثيم مول تنوع بالأصناف شكرا حقيقه للموظف عبد المحسن اتوقع اسمه كذا كان حريص يشرح لي كل صنف بابتسامه مع انه وقت الإقفال بعد الساعه ١٢ وزيادة شكرا له قبل الحساب بالبطاقة مع انه قد قفل حساباته للاسف مالقيت غير ورق عنب كلاسيك لابأس كبة حائل ممتااااازة - 3 years ago | (5⭐) شغلهم ممتاز  وفيه موظف محترم جدا - 5 months ago",مذاق ورق عنب Mzaq Warg Enab,+966 54 900 9263,054 900 9263,"Monday: 12:30 PM – 2:00 AM, Tuesday: 12:30 PM – 2:00 AM, Wednesday: 12:30 PM – 2:00 AM, Thursday: 12:30 PM – 2:00 AM, Friday: 12:00 PM – 3:00 AM, Saturday: 12:00 PM – 3:00 AM, Sunday: 12:30 PM – 2:00 AM",restaurant,"MQPG+83, Ar Rabwah, Riyadh 12839, Saudi Arabia"
146,Terranova,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
147,عبق البحرين,(5⭐) صراحة معرض عبق البحرين فيه عطورات جدا راقية واصلية وعندهم تشكيلة رائعة وبصدق استقبالهم ممتاز وخاصة الموظفة خلود ماشاء الله تبارك الله ادب وأخلاق يفوقو الوصف - 5 months ago | (1⭐) عطورات فاشلة وياليت توظفون موظفات فاهمات، الكشك اللي بالعثيم فرع الربوة حتى اسم العطر ماتعرفه ولا المكونات تجي تقولك عطر بحريني واساساً البراند كله بحريني 😂 - a year ago | (1⭐) عطور فاشله ونوعيات سيئه لايوجد فيها اي تميز - a year ago | (1⭐) ماعندهم وسيلة تواصل - 4 months ago,عبق البحرين,N/A,N/A,N/A,clothing_store,"Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
148,بن منقاش,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
149,Milano,No Reviews,Milan,N/A,N/A,N/A,N/A,"Milan, Metropolitan City of Milan, Italy"
150,Looz & Jooz,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
151,أوبرا للأزياء,"(2⭐) Good service and very good stuff. - a year ago | (5⭐) البضاعة عندهم حلوة جيتهم اليوم واخذت فستان . أسلوب الموظفة البندري راااائع في التعامل والتسويق
هذه الموظفة مكسب للمحل وتجذب الزبائن وان شاء الله بكرر زيارتي ربي يبارك لكم - 5 months ago | (5⭐) القطع جداً جميله والاجمل تعامل الموظفه بنت الروقي تعاامل فوق الخيال لو مافيه شي عجبني بالمحل راح اخذ قطعه من تعاملها الراقييي مشاءالله عليها واجهة المحل وبجدااااااااااررررره من زمان ماتعاملنا مع وحده راقيه زي كذا نفتقدهم بالاسواق شي مشرف للمحل مشاءالله تبارك الرحمن🤍 - 3 months ago | (5⭐) الموظفة عسسسللل كلامها واسلوبها ذوووق الله يسعدها يارب
بنت الروقي🤍🤍. - 3 months ago | (5⭐) محل رائع جدا وفيه قطع جميله ، واشكر الموظفه ( بنت الروقي ) على اسلوبها وتعاملها وحسن اخلاقها  مع الزبائن 👍 - 6 months ago",أوبرا للأزياء,+966 59 659 8435,059 659 8435,"Monday: 9:30 AM – 11:00 PM, Tuesday: 9:30 AM – 11:00 PM, Wednesday: 9:30 AM – 11:00 PM, Thursday: 9:30 AM – 11:00 PM, Friday: 4:00 – 11:00 PM, Saturday: 9:30 AM – 11:00 PM, Sunday: 9:30 AM – 11:00 PM",clothing_store,"exit 15، Exit 14، Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
152,GIORDANO | جيوردانو,(5⭐) V.good - 4 months ago | (2⭐) This outlet appears closed everytime. - a year ago | (5⭐) Good service and nice clothes - 3 years ago | (5⭐) خالد العنزي كان متعاون معنا ماشاءالله وعرف كيف يقنعنا ولسانه طيب مع الزباين يعطيه الف عافيه ما قصر - 5 months ago | (4⭐) المعاملة ممتازة . الأسعار مرتفعة نوعاً ما. لكن وقت التخفيضات أسعارهم تكون مناسبة جداً. - 3 years ago,GIORDANO | جيوردانو,+966 800 111 0128,800 111 0128,"Monday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM, Tuesday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM, Wednesday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM, Thursday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM, Friday: 2:30 – 5:30 PM, 7:00 PM – 2:00 AM, Saturday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM, Sunday: 12:30 – 5:30 PM, 8:30 PM – 2:00 AM",clothing_store,"العثيم مول Othaim Mall، مخرج 14، Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
153,Al Waleef Perfumes I عطور الوليف,"(3⭐) Nice frangnes - a year ago | (5⭐) Awesome - 3 years ago | (1⭐) تجبربتي في عطر نسائي وعطر رجالي
عندهم عروض واكد لي البائع انه الثبات ممتاز ويدوم ٧٢ ساعه وانا اكدت على نقطه الثبات وقلت ممتاز مابدي ٧٢ ساعه بحاجه ٢٤ ساعه مافي مشكله لكن للاسف العطر مايدوم نص ساعه تجربة فاشله - 2 months ago | (2⭐) السلام عليكم ورحمة الله
ليا ملحوظة ياريت توصلها للادارة

بخصوص عطر وشاح

كان اهم مايميزة
قوة عطره و قوة ثباتة وريحتة المميزة
في شكلة القديم

لما جيتم تطور العطر للاسف فقد اهم ميزتين
قوة العطر و درجة الثبات تقريبا مابيثبت علي الملابس مثل اول يمكن نهاية اليوم ريحتة بتختفي
عكس قديما كان تغسل الملابس وريحة العطر تظل موجودة

ولما تكون في مكان وتمشي منة ريحة العطر تظل موجودة

كان عطر مميز فعلا

اتمني العودة للتركيبة القديمة
وانا شخصيا كنت مستمر علية 5 سنوات
ولكن هذة اخر زجاجة عطر بشتريها

حتي يرجع مثل اول
شاكر لكم - a year ago | (1⭐) للأسف لي كم يوم اروح لهم ابي اشم عطر ويطلع مسكر رحت صبح ورحت ظهر مايفتح الا ٤ العصر ومدري اذا صدق يفتح او لا صراحه عليه ملاحظات السوق كله فاتح والبوتيكات متحمسين يرشون عطور وينظفون الا هالبوتيك صامت - 2 months ago",Al Waleef Perfumes I عطور الوليف,+966 53 204 2858,053 204 2858,"Monday: 1:30 – 11:00 PM, Tuesday: 1:30 – 11:00 PM, Wednesday: 1:30 – 11:00 PM, Thursday: 1:30 – 11:00 PM, Friday: 1:30 – 11:00 PM, Saturday: 1:30 – 11:00 PM, Sunday: 1:30 – 11:00 PM",clothing_store,"العثيم مول الربوة طريق الدائري الشرقي الدور الأول, Ar Rabwah, Riyadh 12839, Saudi Arabia"
154,العربيه للعود,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
155,Nahdi pharmacy | صيدليه النهدى,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
156,DDR Restaurant مطعم لذة المآكل,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
157,او في اس | OVS,"(1⭐) عندهم موظفه الله يرزقها اسلوب 👎🏻
نفَّرتني اشتري من عندهم - a month ago | (5⭐) الالوان عندهم رايقة وحلوه بذات الاخضر ودرجاته👍🏻 - 3 years ago | (5⭐) No Review - 11 months ago",OVS,+966 1254000,1254000,"Monday: 9:30 AM – 10:00 PM, Tuesday: 9:30 AM – 10:00 PM, Wednesday: 9:30 AM – 10:00 PM, Thursday: 9:30 AM – 10:00 PM, Friday: 10:00 AM – 11:00 PM, Saturday: 9:30 AM – 10:00 PM, Sunday: 9:30 AM – 10:00 PM",clothing_store,"Eastern Ring Road, مخرج 14، الربوة، الرياض 62581, Saudi Arabia"
158,Skechers,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
159,Home sweet home,"(3⭐) Just a regular place with some goons stuff nothing fancy - 2 months ago | (1⭐) تجرررربة سيييئة معاهم أول وآخر مررره أشتري من عندهم أو أتعامل معاهم
شريت لحاف وقلت للموظفة بوريه لزوجي اذا ما جاز له برجعه قالت تمام معاكِ ٢٤ ساعة وفتحته وريته لزوجي ما عجبه عشان بوليستر ١٠٠٪؜ ثاني يوم برسل زوجي يرجعه يقولو ممنوع تفتحينه اجل كيف بوريه ياه ورفضت ترجعه ورفضت تخلينا نكلم الادارة وانا متفقة معاها بوريه ياها واذا ماجازله برجعه عذرها مو مصفط نفس تصفيطتهم ومين قالك انا اعرف كيف كانت تصفيطتكم اجتهدت ورتبته وش ذا العذر رحت كرز لينن عسسسسل ماشاء الله عليهم قالولي جيبي وحنا نصفطه لك وعادي افتحيه شوفيه هذه السهالات وخذيت ثنين من عندهم وبجيب مفارش عيالي ايش هذه السياسة الي ممنوع اشوف المفرش - 3 months ago | (4⭐) من المعارض الجميله المهتمه بالاكسسورات المنزليه والمفارش الخاصه لغرف النوم ..
الجميل في هذا المعرض انهم يهتمون بالجودة وادق التفاصيل ..
والقطع اللي بالمعرض خاصه بهم فقط وحصري ..
بكل امانة الموظفين لديهم يتميزون بالرقي بالتعامل
وحفاوة الاستقبال والادب ..

كل الشكر لهم
لحسن تعاملهم وحرصهم واهتمامهم بعملائهم
والمحافظه عليهم وتقديم افضل الخدمات ..

دمتم بود .. - 5 years ago | (5⭐) فعلا انصح بزياره الفرع الاسعار جدا حلوة وغير كذا تجاوب البائعه الاخت سارة السويلم كان له هدف في كل شي شرح جدا جميل وواضح المكان جدا مرتب ونظيف والمعروض جدا جميل وجذاب صراحه اتمنى زيارته مره ثانيه الاسعار جدا حلوة وكذالك سرعه في التوصيل والتركيب معا ودقه بالمواعيد - a year ago | (5⭐) يعطيهم العافيه اول مره اخذ وان شاءالله ماهي الاخيره تعامل راقي من الموظفين واسعارهم تجنن ومنتجاتهم ممتازه - 4 months ago",Home sweet home,+966 11 211 3399,011 211 3399,"Monday: 9:30 AM – 11:30 PM, Tuesday: 9:30 AM – 11:30 PM, Wednesday: 9:30 AM – 11:30 PM, Thursday: 9:30 AM – 11:30 PM, Friday: 9:30 AM – 11:30 PM, Saturday: 9:30 AM – 11:30 PM, Sunday: 9:30 AM – 11:30 PM",furniture_store,"حياه مول، Eastern Ring Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
160,Ayla cafe,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
161,إن هاوس,"(4⭐) Perfume is so good! but the girl serving us was extremely rude 😡 - 6 months ago | (5⭐) عروضهم الرائعة و الرهيبة و حسن الاستقبال .
محل جميل للعطورات والشموع وكريمات الجسم موجود باالعثيم الربوة مخرج 14
بوابة واحد .
اعجبتني عروضهم وخصوصا على كراسي الليزي بوي وخدمات التوصيل عندهم سريعه والتعامل مريح وخاماتهم حلوه . - a month ago | (4⭐) محل جميل للعطورات والشموع وكريمات الجسم موجود باالعثيم الربوة مخرج 14
بوابة واحد - 9 months ago | (1⭐) وحت لهم امس اشتريت ب 200 وشويه واوصل البيت الاقي المعططر ينقطط وكتبت لهم اني رحتلي اليوم ومقدر ارجع في فروع فجده اقر ابدلها عندهم قال لاتروحين الفرع طيب رحلتي مقدر اروحلهم تتضارب الاوقات لكنن حسبي الله ونعم الوكيل - 3 weeks ago | (5⭐) افضل محل احبهم واحب عطورات الشعر حقتهم ❤️‍🔥 شكرا لاسرار وحور على وقي تعاملهم الجميييل ماقصروا معاي ❤️❤️ - 3 weeks ago",إن هاوس,+966 50 349 2597,050 349 2597,N/A,store,"Othaim Mall، Exit 15، Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
162,مونتانيا,No Reviews,Eastern Ring Branch Road & Exit 14,N/A,N/A,N/A,intersection,"Eastern Ring Branch Road & Exit 14, Ar Rabwah, Riyadh 12824, Saudi Arabia"
163,M.A.C,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
164,مكياجي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
165,مقاسي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
166,Yves Rocher,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
167,ريف العطور,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
168,Cinema for perfumes,"(5⭐) It was really nice! the chairs are clean, the place isn't loud, the chairs are comfortable. Just everything you look for in a cinema even the worker that sells tickets and drinks was extremely nice, after he forgot to give me my soda I came back and told him and he gave me my soda in an instant! no questions asked - 2 years ago | (5⭐) حلو ننصح به - 4 years ago | (4⭐) حلوة ولكن زحمه - 3 years ago | (1⭐) خيس مانسحكم تشترون - 6 years ago | (1⭐) غير مؤيد لدور السينما. - 5 years ago",Cinema for perfumes,+966 11 205 7109,011 205 7109,"Monday: 9:30 AM – 11:30 PM, Tuesday: 9:30 AM – 11:30 PM, Wednesday: 9:30 AM – 11:30 PM, Thursday: 9:30 AM – 11:30 PM, Friday: 9:30 AM – 11:30 PM, Saturday: 9:30 AM – 11:30 PM, Sunday: 9:30 AM – 11:30 PM",clothing_store,"MQPF+8WR, Ar Rabwah, Riyadh 12839, Saudi Arabia"
169,اكستريم زون,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
170,OudElite - نخبة العود 7025,"(4⭐) Highly recommended for perfumes
Really they have very high quality and nice fragrances
Must try - 3 months ago | (5⭐) High quality oriental perfumes. - 2 years ago | (5⭐) Nice perfume - 5 years ago | (5⭐) Great offers - 4 years ago | (4⭐) This shop is closed - 2 years ago",OudElite - نخبة العود 7025,+966 800 122 0066,800 122 0066,"Monday: 9:00 AM – 12:00 AM, Tuesday: 9:00 AM – 12:00 AM, Wednesday: 9:00 AM – 12:00 AM, Thursday: 9:00 AM – 12:00 AM, Friday: 4:00 PM – 12:00 AM, Saturday: 9:00 AM – 12:00 AM, Sunday: 9:00 AM – 12:00 AM",clothing_store,"حي الربوة الدائري الشرقي مخرج15 Musayyib، Ar Rabwah, Riyadh 12839, Saudi Arabia"
171,Nichii - Al Othaim Mall Rabwa,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
172,آر آند بي,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
173,Al Ghazali,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
174,Victoria's Secret Beauty & Accessories,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
175,سيتي ماكس,"(5⭐) Max is famous shop for clothes,  footwear, bathrooms accessories, and many more other household items. Reasonable price and good quality. Service is good. Maintained well. Supportive staff. Parking available infront of gate one rimal mall. Night dresses and inner wear are good quality.  Fashionable clothes. - 4 years ago | (5⭐) Good store, here in uper position some product have discount. All age groups , also in shoes. I check only this Max store have discount. - 3 years ago | (1⭐) No priority for online cilick and collect, staff's are very careless
Billing too slowly - 3 months ago | (4⭐) Good big shop, all varieties for men, women, children's varieties of cloths available. - 5 years ago | (1⭐) Not worth shopping. Only one cashier on counter and one for return.. More than 25 minutes on counter... I don't know why  Max have invested  in self check out counter when it is not to be used... - a year ago",Max,N/A,N/A,"Monday: 9:30 AM – 11:30 PM, Tuesday: 9:30 AM – 11:30 PM, Wednesday: 9:30 AM – 12:00 PM, 4:30 – 11:30 PM, Thursday: 9:30 AM – 12:00 PM, 4:30 – 11:30 PM, Friday: 4:30 – 11:30 PM, Saturday: 9:30 AM – 12:00 PM, 4:30 – 11:30 PM, Sunday: 9:30 AM – 11:30 PM",clothing_store,"Eastern Ring Branch Rd, Ar Rawabi, Riyadh 14215, Saudi Arabia"
176,The Body Shop,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
177,"FACES - Othaim Mall, Riyadh",(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
178,براندز فور لس,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
179,طفل ولعب,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
180,اتزماين,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
181,Kudu - Al Othaim Mall,(1⭐) البطاطس كله يقطر زيت ومحروق مايناكل الله يعز النعمه رميته - a year ago | (1⭐) تم وضع لوحة مشارك خصم ٥٠% وعند الحساب لم يتم الخصم فقط البرجر يشكل العرض بينما بقية المطاعم والكافيهات المشاركه في مشارك يتم الخصم نصف الفاتوره عند الحساب نتمنى المصداقيه والوضوح للعملاء - 6 months ago | (1⭐) اسوء فرع كودو تعامل الموظفين جداً سيئ - 11 months ago | (3⭐) الخدمة بطيئة جدا .. مع ان كودو من المطاعم المفضله عندي .. جربت ستيك اللحم لفينو ماكان لذيذ بس لحم مفروم وصوص .. - 2 years ago | (1⭐) طلبنا وجبة فالكون الجودة سيئة جداً جداً غير البرجر اللي نطلبه بالعاده، والصوص مره لا، ما انصح فيها - 7 months ago,Kudu - Al Othaim Mall,+966 9200 06999,9200 06999,"Monday: 4:00 PM – 3:30 AM, Tuesday: 4:00 PM – 3:30 AM, Wednesday: 4:00 PM – 3:30 AM, Thursday: 4:00 PM – 3:30 AM, Friday: 4:00 PM – 3:30 AM, Saturday: 4:00 PM – 3:30 AM, Sunday: 4:00 PM – 3:30 AM",restaurant,"Al Othaim Mall, Gate 2, Food Court, Eastern Ring Branch Rd, Ar Rabwah, Riyadh 12839, Saudi Arabia"
182,Zohoor Alreef,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
183,شاورما كنج | Shawarma King,"(1⭐) Every step behaviour is very bad,
Everyone Don't know how to face customers and delivery man,
Online delivery service very bad, - 2 months ago | (5⭐) food safety is very good  and all staff hygiene is Very smart - a month ago | (5⭐) Good 👍😊 - 2 months ago | (5⭐) Shawarma King good - a month ago | (5⭐) Good 👍 - a month ago",شاورما كنج | Shawarma King,+966 55 429 2979,055 429 2979,"Monday: 1:00 PM – 1:00 AM, Tuesday: 1:00 PM – 1:00 AM, Wednesday: 1:00 PM – 1:00 AM, Thursday: 1:00 PM – 1:00 AM, Friday: 1:00 PM – 1:00 AM, Saturday: 1:00 PM – 1:00 AM, Sunday: 1:00 PM – 1:00 AM",middle_eastern_restaurant,"Othaim Mall, يقع داخل العثيم مول, Exit 15، الطريق الدائري الشرقي الفرعي، الربوة، الرياض 12839, Saudi Arabia"
184,ice spot,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
185,PizzaExpress,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
186,AlBaik,(5⭐) Good food - a year ago | (5⭐) Good❤️ - 11 months ago,Othaim watch repair shop,+966 50 201 1248,050 201 1248,N/A,N/A,"Eastern ring road, MQWG+2F2، مخرج 14، الروابي، الرياض 14215, Saudi Arabia"
